Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Alex Muranda Livestock Development Centre,NA,10/16/2025,2,0,26.52,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,3,0,25.96,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,4,0,24.1,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,5,0,23.3,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,6,0,22.51,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,7,0,20.7,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,8,0,21.14,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,9,0,23.02,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,10,0,26.2,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,11,0,30.29,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,12,0,33.19,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,13,0,34.77,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,14,0,35.61,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,15,0,36.63,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,16,0,36.47,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,17,0,36.53,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,18,0,36.46,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,19,0,35.29,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,20,0,31.81,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,21,0,26.89,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,22,0,23.66,0
